InterZone,All people,Area (hectares),simd_mode
S02002206,3546,420,2
S02002207,5126,243,5
S02002208,3595,103,5
S02002209,2924,101,5
S02002210,6120,4206,2
S02002211,3308,86,1
S02002212,3919,2179,2
S02002213,3146,9661,4
S02002214,4009,26399,4
S02002215,3663,13599,4
S02002216,3851,158,3
S02002217,2500,102,4
S02002218,4180,49061,3
S02002219,3630,11513,4
S02002220,4698,192,3
S02002221,3500,13876,4
S02002222,3562,24104,4
S02002223,4069,184,4
S02002224,3788,43641,4
S02002225,3234,172,5
S02002226,4134,166,3
S02002227,4144,15860,4
S02002228,3982,17089,4
S02002229,4933,7571,4
S02002230,4366,187,2
S02002231,5780,188,5
S02002232,4277,182,5
S02002233,4205,167,5
S02002234,5808,101,1
S02002235,5810,271,2
S02002236,3303,943,2
S02002237,3001,90,4
S02002238,2256,85,2
S02002239,4584,91,1
S02002240,3724,491,3
S02002241,4998,1052,5
S02002242,3894,12023,4
S02002243,3729,5041,4
S02002244,3790,5345,4
S02002245,5145,11740,4
S02002246,3054,7873,3
S02002247,4034,106059,3
S02002248,3010,179,1
S02002249,5533,285,5
S02002250,4516,9649,4
S02002251,5639,27529,4
S02002252,3716,10203,4
S02002253,4806,194416,4
S02002254,2769,82,3
S02002255,3768,9329,4
S02002256,3722,10487,5
S02002257,3394,95,3
S02002258,5411,153,2
S02002259,3573,96,1
S02002260,3877,197,1
S02002261,4260,92,2
S02002262,5060,277,4
S02002263,4227,159,1
S02002264,3579,90,1
S02002265,5615,118,1
S02002266,4998,124,1
S02002267,4850,157,5
S02002268,4184,78,2
S02002269,3470,83,2
S02002270,3843,142,5
S02002271,5791,137,1
S02002272,3476,95,3
S02002273,4111,166,1
S02002274,6584,149,1
S02002275,5930,208,1
S02002276,4904,126,5
S02002277,5625,124,1
S02002278,4603,565,1
S02002279,6750,204,1
S02002280,5128,112,2
S02002281,5626,127,2
S02002282,4350,602,2
S02002283,5893,154,5
S02002284,5176,166,3
S02002285,5820,136,2
S02002286,4708,136,5
S02002287,3939,111,1
S02002288,4652,114,3
S02002289,3294,92,5
S02002290,3102,116,4
S02002291,4846,793,5
S02002292,5615,70484,4
S02002293,4331,174,3
S02002294,4045,188,5
S02002295,5411,22869,3
S02002296,4844,34415,4
S02002297,3730,147,3
S02002298,3130,71,2
S02002299,3309,889,4
S02002300,2798,85,1
S02002301,5266,572,3
S02002302,2909,24772,4
S02002303,4067,46093,4
S02002304,2753,183,3
S02002305,3758,20083,3
S02002306,3546,122,2
S02002307,4079,17660,4
S02002308,2752,7136,3
S02002309,4578,34151,3
S02002310,3308,83,4
S02002311,2331,111,3
S02002312,2855,34032,4
S02002313,3604,7033,4
S02002314,4030,154,3
S02002315,3923,84792,3
S02002316,3068,121,1
S02002317,4333,132,2
S02002318,3372,204,4
S02002319,3580,112,3
S02002320,2761,66068,4
S02002321,5784,240,3
S02002322,3291,13991,4
S02002323,3475,1962,4
S02002324,4965,3426,3
S02002325,3195,11410,4
S02002326,2789,39906,4
S02002327,2658,35637,3
S02002328,2794,40333,3
S02002329,5501,75552,2
S02002330,3405,58,1
S02002331,3246,133,2
S02002332,4846,961,2
S02002333,4001,23211,3
S02002334,3709,4935,3
S02002335,6075,650,5
S02002336,4487,105,2
S02002337,5553,197,5
S02002338,5041,158,3
S02002339,5359,192,1
S02002340,4757,135,1
S02002341,2627,118,1
S02002342,2884,80,1
S02002343,4211,95,1
S02002344,4247,120,2
S02002345,4353,177,2
S02002346,4145,169,4
S02002347,5417,136,4
S02002348,2710,2604,3
S02002349,5962,6731,2
S02002350,5341,4765,3
S02002351,5472,194,5
S02002352,4046,127,1
S02002353,5404,595,5
S02002354,2623,62006,2
S02002355,5552,21813,4
S02002356,4872,7549,2
S02002357,3756,9919,1
S02002358,3737,2256,4
S02002359,2910,76,4
S02002360,2417,80,2
S02002361,4103,110,1
S02002362,3260,90,3
S02002363,2576,4547,3
S02002364,2602,91,5
S02002365,2366,46,2
S02002366,3779,886,2
S02002367,3788,8404,3
